chip_name,y,x,high_bias_magnitude
BD1,21,13,False
BD1,21,14,False
BD1,21,15,False
BD1,21,16,False
BD1,21,17,False
BD1,21,18,False
BD1,21,19,False
BD1,21,20,False
BD1,21,21,False
BD1,21,22,False
BD1,21,23,False
BD1,21,24,False
BD1,21,25,False
BD1,21,26,False
BD1,21,27,False
BD1,21,28,False
BD1,21,29,False
BD1,21,30,False
BD1,21,31,True
BD1,22,0,True
BD1,22,1,False
BD1,22,2,False
BD1,22,3,False
BD1,22,4,False
BD1,22,5,False
BD1,22,6,True
BD1,22,7,False
BD1,22,8,False
BD1,22,9,False
BD1,22,10,True
BD1,22,11,True
BD1,22,12,False
BD1,22,13,False
BD1,22,14,True
BD1,22,15,True
BD1,22,16,False
BD1,22,17,False
BD1,22,18,False
BD1,22,19,False
BD1,22,20,True
BD1,22,21,False
BD1,22,22,False
BD1,22,23,False
BD1,22,24,False
BD1,22,25,True
BD1,22,26,False
BD1,22,27,False
BD1,22,28,False
BD1,22,29,False
BD1,22,30,False
BD1,22,31,False
BD1,23,0,False
BD1,23,1,False
BD1,23,2,False
BD1,23,3,False
BD1,23,4,False
BD1,23,5,False
BD1,23,6,False
BD1,23,7,False
BD1,23,8,False
BD1,23,9,False
BD1,23,10,False
BD1,23,11,False
BD1,23,12,False
BD1,23,13,False
BD1,23,14,False
BD1,23,15,True
BD1,23,16,False
BD1,23,17,False
BD1,23,18,False
BD1,23,19,False
BD1,23,20,False
BD1,23,21,False
BD1,23,22,False
BD1,23,23,False
BD1,23,24,False
BD1,23,25,True
BD1,23,26,False
BD1,23,27,False
BD1,23,28,False
BD1,23,29,False
BD1,23,30,True
BD1,23,31,False
BD1,24,0,False
BD1,24,1,False
BD1,24,2,False
BD1,24,3,False
BD1,24,4,False
BD1,24,5,True
BD1,24,6,False
BD1,24,7,True
BD1,24,8,False
BD1,24,9,False
BD1,24,10,True
BD1,24,11,True
BD1,24,12,True
BD1,24,13,False
BD1,24,14,True
BD1,24,15,False
BD1,24,16,False
BD1,24,17,False
BD1,24,18,True
BD1,24,19,False
BD1,24,20,False
BD1,24,21,False
BD1,24,22,False
BD1,24,23,False
BD1,24,24,False
BD1,24,25,False
BD1,24,26,True
BD1,24,27,True
BD1,24,28,True
BD1,24,29,False
BD1,24,30,True
BD1,24,31,True
BD1,25,0,False
BD1,25,1,False
BD1,25,2,False
BD1,25,3,True
BD1,25,4,False
BD1,25,5,False
BD1,25,6,True
BD1,25,7,False
BD1,25,8,False
BD1,25,9,False
BD1,25,10,True
BD1,25,11,True
BD1,25,12,False
BD1,25,13,False
BD1,25,14,False
BD1,25,15,False
BD1,25,16,False
BD1,25,17,False
BD1,25,18,False
BD1,25,19,False
BD1,25,20,True
BD1,25,21,False
BD1,25,22,False
BD1,25,23,False
BD1,25,24,False
BD1,25,25,False
BD1,25,26,False
BD1,25,27,False
BD1,25,28,False
BD1,25,29,False
BD1,25,30,False
BD1,25,31,False
BD1,26,0,False
BD1,26,1,False
BD1,26,2,False
BD1,26,3,False
BD1,26,4,False
BD1,26,5,False
BD1,26,6,True
BD1,26,7,False
BD1,26,8,True
BD1,26,9,False
BD1,26,10,False
BD1,26,11,False
BD1,26,12,True
BD1,26,13,False
BD1,26,14,False
BD1,26,15,False
BD1,26,16,False
BD1,26,17,False
BD1,26,18,False
BD1,26,19,False
BD1,26,20,False
BD1,26,21,False
BD1,26,22,False
BD1,26,23,False
BD1,26,24,True
BD1,26,25,False
BD1,26,26,False
BD1,26,27,False
BD1,26,28,True
BD1,26,29,False
BD1,26,30,True
BD1,26,31,False
BD1,27,0,False
BD1,27,1,False
BD1,27,2,False
BD1,27,3,False
BD1,27,4,False
BD1,27,5,True
BD1,27,6,False
BD1,27,7,False
BD1,27,8,False
BD1,27,9,False
BD1,27,10,False
BD1,27,11,False
BD1,27,12,False
BD1,27,13,False
BD1,27,14,False
BD1,27,15,False
BD1,27,16,False
BD1,27,17,False
BD1,27,18,False
BD1,27,19,False
BD1,27,20,True
BD1,27,21,False
BD1,27,22,False
BD1,27,23,True
BD1,27,24,False
BD1,27,25,False
BD1,27,26,True
BD1,27,27,False
BD1,27,28,False
BD1,27,29,True
BD1,27,30,False
BD1,27,31,True
BD1,28,0,False
BD1,28,1,False
BD1,28,2,False
BD1,28,3,False
BD1,28,4,True
BD1,28,5,False
BD1,28,6,False
BD1,28,7,False
BD1,28,8,False
BD1,28,9,False
BD1,28,10,False
BD1,28,11,True
BD1,28,12,False
BD1,28,13,False
BD1,28,14,False
BD1,28,15,False
BD1,28,16,False
BD1,28,17,False
BD1,28,18,True
BD1,28,19,False
BD1,28,20,True
BD1,28,21,False
BD1,28,22,False
BD1,28,23,False
BD1,28,24,False
BD1,28,25,False
BD1,28,26,True
BD1,28,27,False
BD1,28,28,False
BD1,28,29,False
BD1,28,30,False
BD1,28,31,False
BD1,29,0,False
BD1,29,1,False
BD1,29,2,True
BD1,29,3,False
BD1,29,4,False
BD1,29,5,False
BD1,29,6,False
BD1,29,7,False
BD1,29,8,False
BD1,29,9,False
BD1,29,10,False
BD1,29,11,False
BD1,29,12,False
BD1,29,13,True
BD1,29,14,False
BD1,29,15,False
BD1,29,16,False
BD1,29,17,True
BD1,29,18,False
BD1,29,19,False
BD1,29,20,False
BD1,29,21,False
BD1,29,22,False
BD1,29,23,False
BD1,29,24,False
BD1,29,25,False
BD1,29,26,False
BD1,29,27,False
BD1,29,28,False
BD1,29,29,False
BD1,29,30,False
BD1,29,31,False
BD1,30,0,False
BD1,30,1,False
BD1,30,2,False
BD1,30,3,False
BD1,30,4,False
BD1,30,5,False
BD1,30,6,False
BD1,30,7,False
BD1,30,8,False
BD1,30,9,False
BD1,30,10,False
BD1,30,11,False
BD1,30,12,False
BD1,30,13,False
BD1,30,14,False
BD1,30,15,False
BD1,30,16,False
BD1,30,17,False
BD1,30,18,False
BD1,30,19,False
BD1,30,20,True
BD1,30,21,True
BD1,30,22,False
BD1,30,23,False
BD1,30,24,False
BD1,30,25,False
BD1,30,26,False
BD1,30,27,False
BD1,30,28,True
BD1,30,29,True
BD1,30,30,False
BD1,30,31,False
BD1,31,0,True
BD1,31,1,True
BD1,31,2,False
BD1,31,3,True
BD1,31,4,False
BD1,31,5,False
BD1,31,6,False
BD1,31,7,False
BD1,31,8,True
BD1,31,9,False
BD1,31,10,False
BD1,31,11,False
BD1,31,12,True
BD1,31,13,True
BD1,31,14,False
BD1,31,15,False
BD1,31,16,False
BD1,31,17,False
BD1,31,18,False
BD1,31,19,False
BD1,31,20,False
BD1,31,21,True
BD1,31,22,False
BD1,31,23,False
BD1,31,24,True
BD1,31,25,False
BD1,31,26,False
BD1,31,27,False
BD1,31,28,False
BD1,31,29,False
BD1,31,30,True
BD1,31,31,False
